"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2011",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
Total,"4,693","258,293",3.5,
,,,,
Employee Status,,,,
Wage and salary workers4 ,"3,642","241,832",2.9,
Self-employed5,"1,051","15,918",13.1,
,,,,
Gender,,,,
Men,"4,308","146,322",5.7,
Women,385,"111,782",0.7,
,,,,
Age,,,,
18 to 19 years,61,"3,614",3.0,
20 to 24 years,292,"21,262",2.5,
25 to 34 years,714,"58,180",2.4,
35 to 44 years,875,"58,722",2.9,
45 to 54 years,"1,222","64,008",3.8,
55 to 64 years,936,"41,299",4.4,
65 years and over,569,"10,067",11.0,
,,,,
Race or ethnic origin6,,,,
White (non-Hispanic),"3,323","177,293",3.6,
Black or African-American (non-Hispanic),440,"26,281",3.3,
Hispanic or Latino,749,"36,981",4.0,
,,,,
Occupation7,,,,
Civilian Occupations,,,,
"Management, professional, and related occupations",744,"101,483",1.4,
"Management, business, and financial operations occupations",497,"44,770",2.2,
Management occupations,467,"32,299",2.9,
"Farmers, ranchers, and other agricultural managers",268,"2,054",26.1,
Construction managers,21,"1,911",2.2,
Food service managers,28,"2,297",2.4,
"Property, real estate, and community association managers",15,"1,074",2.8,
Business and financial operations occupations,30,"12,456",0.5,
Professional and related occupations,247,"56,835",0.8,
Architecture and engineering occupations,38,"5,704",1.3,
"Life, physical, and social science occupations",23,"2,502",1.8,
Community and social service occupations,23,"4,396",0.9,
"Education, training, and library occupations",37,"14,134",0.5,
"Arts, design, entertainment, sports, and media occupations",52,"4,795",2.0,
"Athletes, coaches, umpires, and related workers",23,389,10.3,
Healthcare practitioners and technical occupations,55,"14,386",0.7,
Service occupations,692,"41,008",3.2,
Healthcare support occupations,23,"5,676",0.8,
Protective service occupations,282,"6,384",8.2,
Fire fighters,28,802,2.5,
Police and sheriff's patrol officers,130,"1,386",18.6,
Security guards and gaming surveillance officers,64,"1,766",7.2,
Food preparation and serving related occupations,47,"11,869",0.8,
Building and grounds cleaning and maintenance occupations,269,"9,118",5.7,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",28,525,10.7,
Janitors and building cleaners,43,"3,665",2.3,
Grounds maintenance workers,183,"2,081",16.9,
Personal care and service occupations,71,"7,959",1.6,
Sales and office occupations,331,"58,945",1.1,
Sales and related occupations,240,"27,645",1.7,
First-line supervisors of retail sales workers,104,"6,663",3.1,
First-line supervisors of non-retail sales workers,23,"2,349",2.0,
Cashiers,34,"4,473",1.5,
Retail salespersons,26,"5,204",1.0,
Office and administrative support occupations,91,"31,313",0.6,
"Natural resources, construction, and maintenance occupations","1,413","25,053",11.1,
"Farming, fishing, and forestry occupations",261,"1,955",25.3,
Miscellaneous agricultural workers,133,"1,399",17.2,
Fishers and related fishing workers,42,66,127.3,
Logging workers,65,125,104.0,
Construction and extraction occupations,798,"13,284",11.9,
First-line supervisors of construction trades and extraction workers,106,"1,334",15.7,
Carpenters,44,"2,352",3.7,
Construction laborers,191,"2,179",17.3,
Operating engineers and other construction equipment operators,47,752,12.0,
Electricians,62,"1,348",9.1,
"Painters, construction and maintenance",34,885,7.7,
"Pipelayers, plumbers, pipefitters, and steamfitters",27,"1,023",5.3,
Roofers,60,369,32.0,
Structural iron and steel workers,18,133,27.1,
"Helpers, construction trades",15,110,27.3,
Other extraction workers,31,157,39.5,
"Installation, maintenance, and repair occupations",354,"9,774",7.1,
"First-line supervisors of mechanics, installers, and repairers",18,675,5.3,
Automotive service technicians and mechanics,34,"1,730",3.9,
Bus and truck mechanics and diesel engine specialists,19,643,5.9,
"Heating, air conditioning, and refrigeration mechanics and installers",18,655,5.5,
"Industrial machinery installation, repair, and maintenance workers",53,"1,091",9.7,
Electrical power-line installers and repairers,26,266,19.5,
"Maintenance and repair workers, general",65,812,15.8,
"Production, transportation, and material moving occupations","1,455","31,687",9.1,
Production occupations,222,"15,990",2.8,
First-line supervisors of production and operating workers,35,"1,550",4.5,
"Welding, soldering, and brazing workers",45,"1,056",8.5,
Transportation and material moving occupations,"1,233","15,740",15.5,
Aircraft pilots and flight engineers,71,228,56.1,
Driver/sales workers and truck drivers,774,"6,316",24.5,
Taxi drivers and chauffeurs,64,640,19.7,
Industrial truck and tractor operators,34,"1,042",6.5,
"Laborers and freight, stock, and material movers, hand",94,"3,065",6.1,
Refuse and recyclable material collectors,30,165,36.4,
,,,,
Industry8,,,,
Private industry,"4,188","221,142",3.7,
Goods producing,"1,786","51,481",6.8,
Natural resources and mining9,721,"6,355",22.1,
"Agriculture, forestry, fishing and hunting",566,"4,410",24.9,
Crop production  ,245,"1,843",25.6,
Animal production,148,"1,921",14.8,
Logging ,76,197,77.2,
"Fishing, hunting, and trapping ",43,85,101.2,
Support activities for agriculture and forestry ,45,350,24.6,
"Mining, quarrying, and oil and gas extraction9",155,"1,945",15.9,
Mining (except oil and gas),37,488,15.2,
Coal mining ,17,260,13.1,
Nonmetallic mineral mining and quarrying,15,141,21.3,
Support activities for mining,105,"1,274",16.5,
Construction,738,"16,048",9.1,
Manufacturing,327,"29,079",2.2,
Food manufacturing,51,"3,327",3.1,
Animal slaughtering and processing ,18,"1,000",3.6,
Wood product manufacturing,25,754,6.6,
Chemical manufacturing,25,"2,616",1.9,
Nonmetallic mineral product manufacturing,31,794,7.8,
"Cement, concrete, lime, and gypsum product manufacturing ",25,285,17.5,
Primary metal manufacturing,24,"1,077",4.5,
Fabricated metal product manufacturing,39,"2,325",3.4,
Machinery manufacturing,23,"2,371",1.9,
Transportation equipment manufacturing,30,"4,129",1.5,
Service providing,"2,402","169,406",2.8,
"Trade, transportation, and utilities","1,246","46,912",5.3,
Wholesale trade,190,"7,700",4.9,
"Merchant wholesalers, durable goods",109,"3,584",6.0,
"Machinery, equipment, and supplies, merchant wholesalers     ",21,755,5.6,
Recyclable material merchant wholesalers,34,232,28.4,
"Merchant wholesalers, nondurable goods",77,"3,852",4.0,
"Groceries and related products, merchant wholesalers ",26,"1,710",3.0,
Retail trade,268,"27,602",1.9,
Motor vehicle and parts dealers,44,"3,835",2.3,
Automobile dealers ,20,"2,493",1.6,
"Automotive parts, accessories, and tire stores  ",20,"1,069",3.7,
Building material and garden equipment and supplies dealers,20,"2,574",1.6,
Food and beverage stores,86,"5,335",3.2,
Grocery stores ,70,"4,652",3.0,
Gasoline stations ,21,825,5.1,
Miscellaneous store retailers,17,"1,807",1.8,
Nonstore retailers,18,952,3.8,
Transportation and warehousing     ,749,"9,764",15.3,
Air transportation ,29,893,5.8,
Rail transportation ,22,465,9.5,
Truck transportation ,485,"3,751",25.9,
Transit and ground passenger transportation,74,"1,034",14.3,
Bus service and urban transit ,23,573,8.0,
Taxi and limousine service ,51,461,22.1,
Support activities for transportation ,82,"1,354",12.1,
Couriers and messengers,15,"1,252",2.4,
Warehousing and storage ,16,702,4.6,
Utilities,39,"1,847",4.2,
Information ,56,"5,822",1.9,
"Publishing industries, except Internet",17,"1,143",3.0,
Financial activities,98,"17,804",1.1,
Finance and insurance,36,"12,873",0.6,
Real estate and rental and leasing,62,"4,935",2.5,
Real estate ,42,"4,171",2.0,
Rental and leasing services,20,758,5.3,
Professional and business services,433,"29,149",2.9,
"Professional, scientific, and technical services",74,"18,077",0.8,
"Architectural, engineering, and related services ",23,"2,828",1.6,
"Management, administrative, and waste services",359,"11,038",6.4,
Employment services ,33,"1,496",4.4,
Investigation and security services ,39,"1,492",5.2,
Services to buildings and dwellings (except landscaping services) ,34,"2,221",3.1,
Landscaping services,171,"2,118",15.6,
Waste management and remediation services ,67,797,16.8,
Educational and health services,154,"38,114",0.8,
Educational services,37,"7,156",1.0,
Health care and social assistance,117,"30,944",0.7,
Ambulatory health care services,56,"11,711",0.9,
Hospitals ,16,"10,263",0.3,
Nursing and residential care facilities,20,"4,309",0.9,
Social assistance,23,"4,658",0.9,
Leisure and hospitality,231,"20,003",2.2,
"Arts, entertainment, and recreation",93,"4,132",3.9,
"Performing arts, spectator sports, and related industries",48,"1,289",6.5,
"Amusement, gambling, and recreation industries (except bowling centers)  ",39,"2,543",2.7,
Accommodation and food services,138,"15,872",1.7,
Accommodation ,33,"2,529",2.6,
Traveler accommodation ,23,"2,354",2.0,
Food services and drinking places,105,"13,357",1.6,
Restaurants and other food services ,74,"13,010",1.1,
Drinking places (alcoholic beverages),31,344,18.0,
Other services (except public administration),183,"11,603",3.0,
Repair and maintenance,102,"3,815",5.3,
Automotive repair and maintenance (except car washes),61,"2,250",5.4,
Personal and laundry services,46,"3,656",2.5,
"Religious, grantmaking, civic, professional, and similar organizations",30,"3,158",1.5,
Government10,505,"37,345",2.2,
Federal government,98,"6,923",1.2,
State government,108,"11,353",1.9,
Local government,297,"19,096",2.8,
,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to ",,,,
maintain consistency with the Current Population Survey (CPS) employment.  The total fatal injuries column represents total published fatal ,,,,
injuries before the exclusions.,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of",,,,
"age and older, from the CPS, 2011.",,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,
"(N/EH) x 200,000,000 where",,,,
     N                  = the number of fatal work injuries ,,,,
     EH                = total hours worked by all employees during the calendar year,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,
     4 May include volunteers and workers receiving other types of compensation.,,,,
"     5 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include",,,,
 some owners of incorporated businesses or members of partnerships.,,,,
     6 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,
"     7 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,
"     8 Industry data are based on the North American Industry Classification System (NAICS), 2007.",,,,
"     9 Includes fatal injuries at all establishments categorized as Mining, Quarrying, and Oil and Gas Extraction (Sector 21) in the North American Industry",,,,
"Classification System, including establishments not governed by the Mine Safety and Health Administration (MSHA) rules",,,,
"and reporting, such as those in Oil and Gas Extraction.",,,,
     10 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,
"Note: Selected rate categories had 15 or more reported fatal work injuries in 2011 and 40 million or more work hours (20,000 full-time ",,,,
equivalent employees).  Rates produced in other years may not appear if they do not meet this threshold in 2011.  Totals for major ,,,,
categories may include subcategories not shown separately.  Figures may not add to totals because of rounding.  CFOI ,,,,
fatality counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,
"Source:  U.S. Bureau of Labor Statistics, Current Population Survey, Census of Fatal Occupational Injuries, 2020.",,,,
