"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2014",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
Total,"4,821","272,663",3.4,
,,,,
Employee Status,,,,
Wage and salary workers4 ,"3,728","256,901",2.8,
Self-employed5,"1,093","15,956",13.6,
,,,,
Gender,,,,
Men,"4,454","154,791",5.6,
Women,367,"118,054",0.6,
,,,,
Age,,,,
18 to 19 years,42,"3,832",2.0,
20 to 24 years,292,"23,070",2.3,
25 to 34 years,753,"61,437",2.4,
35 to 44 years,860,"60,683",2.8,
45 to 54 years,"1,161","64,164",3.6,
55 to 64 years,"1,007","45,965",4.3,
65 years and over,684,"12,294",10.7,
,,,,
Race or ethnic origin6,,,,
White (non-Hispanic),"3,332","179,238",3.6,
Black or African-American (non-Hispanic),475,"29,011",3.2,
Asian (non-Hispanic),137,"15,382",1.8,
Hispanic or Latino,804,"43,371",3.7,
,,,,
Occupation7,,,,
Civilian Occupations,,,,
"Management, professional, and related occupations",704,"108,678",1.3,
"Management, business, and financial operations occupations",468,"48,006",1.9,
Management occupations,440,"34,336",2.5,
"Farmers, ranchers, and other agricultural managers",270,"2,003",26.7,
Construction managers,15,"1,512",2.0,
Food service managers,22,"2,400",1.8,
"Property, real estate, and community association managers",20,"1,231",3.2,
Business and financial operations occupations,28,"13,672",0.4,
Professional and related occupations,236,"60,781",0.7,
Computer and mathematical occupations,16,"8,556",0.4,
Architecture and engineering occupations,35,"5,735",1.2,
"Life, physical, and social science occupations",18,"2,625",1.3,
Community and social service occupations,33,"4,622",1.1,
"Education, training, and library occupations",27,"14,491",0.4,
"Arts, design, entertainment, sports, and media occupations",47,"5,051",1.6,
"Athletes, coaches, umpires, and related workers",19,426,7.5,
Healthcare practitioners and technical occupations,53,"15,975",0.7,
Service occupations,597,"43,061",2.6,
Protective service occupations,213,"6,272",6.1,
Police and sheriff's patrol officers,97,"1,437",13.5,
Security guards and gaming surveillance officers,40,"1,660",4.7,
Food preparation and serving related occupations,55,"12,515",0.9,
First-line supervisors of food preparation and serving workers,19,"1,907",2.0,
Building and grounds cleaning and maintenance occupations,252,"9,709",5.1,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",33,403,16.4,
Janitors and building cleaners,48,"3,942",2.4,
Grounds maintenance workers,158,"2,374",13.1,
Personal care and service occupations,63,"8,651",1.4,
Sales and office occupations,339,"59,874",1.1,
Sales and related occupations,239,"28,388",1.7,
First-line supervisors of retail sales workers,89,"6,800",2.6,
First-line supervisors of non-retail sales workers,35,"2,580",2.7,
Cashiers,35,"4,561",1.5,
Retail salespersons,38,"5,483",1.3,
Office and administrative support occupations,100,"31,516",0.6,
"Natural resources, construction, and maintenance occupations","1,567","26,762",11.5,
"Farming, fishing, and forestry occupations",259,"2,027",24.7,
Miscellaneous agricultural workers,146,"1,480",18.9,
Fishers and related fishing workers,22,52,80.8,
Logging workers,78,137,110.9,
Construction and extraction occupations,902,"14,800",12.1,
First-line supervisors of construction trades and extraction workers,130,"1,493",17.4,
Carpenters,59,"2,393",4.8,
Construction laborers,208,"3,078",13.3,
Operating engineers and other construction equipment operators,28,700,8.0,
Electricians,79,"1,563",10.0,
"Painters, construction and maintenance",46,999,9.2,
"Pipelayers, plumbers, pipefitters, and steamfitters",32,"1,143",5.6,
Roofers,83,356,46.1,
Structural iron and steel workers,15,106,28.3,
Other extraction workers,22,232,18.1,
"Installation, maintenance, and repair occupations",406,"9,913",8.1,
"First-line supervisors of mechanics, installers, and repairers",38,618,12.3,
Automotive service technicians and mechanics,33,"1,770",3.7,
Bus and truck mechanics and diesel engine specialists,30,688,8.4,
"Heating, air conditioning, and refrigeration mechanics and installers",29,764,7.3,
"Industrial machinery installation, repair, and maintenance workers",43,"1,142",7.5,
"Maintenance and repairs workers, general",68,929,14.4,
Electrical power-line installers and repairers,25,260,19.2,
Telecommunications line installers and repairers,19,380,10.0,
"Production, transportation, and material moving occupations","1,558","34,242",9.0,
Production occupations,212,"16,893",2.5,
First-line supervisors of production and operating workers,22,"1,717",2.6,
"Welding, soldering, and brazing workers",39,"1,295",6.0,
Transportation and material moving occupations,"1,346","17,379",15.4,
Aircraft pilots and flight engineers,82,250,64.0,
Driver/sales workers and truck drivers,880,"7,123",24.7,
Taxi drivers and chauffeurs,68,722,18.0,
Industrial truck and tractor operators,37,"1,137",6.3,
"Laborers and freight, stock, and material movers, hand",87,"3,322",5.1,
Refuse and recyclable material collectors,27,151,35.8,
,,,,
Industry8,,,,
Private industry,"4,386","235,888",3.7,
Goods producing,"2,015","56,019",7.1,
Natural resources and mining9,767,"7,021",21.4,
"Agriculture, forestry, fishing and hunting",584,"4,460",25.6,
Crop production  ,251,"2,201",22.4,
Animal production and aquaculture  ,166,"1,657",19.3,
Logging ,92,180,100.0,
"Fishing, hunting, and trapping ",25,70,68.6,
Support activities for agriculture and forestry ,44,308,28.6,
"Mining, quarrying, and oil and gas extraction9",183,"2,561",14.2,
Oil and gas extraction ,18,231,15.6,
Mining (except oil and gas),38,467,15.8,
Nonmetallic mineral mining and quarrying,19,170,22.4,
Support activities for mining,127,"1,842",13.8,
Construction,899,"18,168",9.8,
Manufacturing,349,"30,830",2.3,
Food manufacturing,56,"3,398",3.3,
Animal slaughtering and processing ,19,996,3.8,
Wood product manufacturing,42,785,10.7,
Chemical manufacturing,27,"2,752",2.0,
Plastics and rubber products manufacturing,15,979,3.1,
Nonmetallic mineral product manufacturing,39,857,9.1,
"Cement, concrete, lime, and gypsum product manufacturing ",30,312,19.2,
Primary metal manufacturing,28,"1,093",5.1,
Fabricated metal product manufacturing,34,"2,315",2.9,
Machinery manufacturing,24,"2,724",1.8,
Transportation equipment manufacturing,32,"4,765",1.3,
Service providing,"2,371","179,797",2.6,
"Trade, transportation, and utilities","1,246","49,281",5.0,
Wholesale trade,191,"7,430",5.1,
"Merchant wholesalers, durable goods",105,"3,522",6.0,
"Machinery, equipment, and supplies, merchant wholesalers     ",27,817,6.6,
Recyclable material merchant wholesalers,24,221,21.7,
"Merchant wholesalers, nondurable goods",84,"3,676",4.6,
"Groceries and related products, merchant wholesalers ",16,"1,718",1.9,
Retail trade,272,"28,997",1.9,
Motor vehicle and parts dealers,47,"3,963",2.4,
Automobile dealers ,23,"2,690",1.7,
"Automotive parts, accessories, and tire stores  ",21,"1,023",4.1,
Building material and garden equipment and supplies dealers,27,"2,677",1.9,
Food and beverage stores,69,"5,499",2.5,
Grocery stores ,51,"4,731",2.2,
Gasoline stations ,29,943,6.2,
Miscellaneous store retailers,24,"1,883",2.4,
Nonstore retailers,16,"1,118",2.9,
Transportation and warehousing     ,766,"10,897",14.1,
Air transportation ,35,949,7.4,
Truck transportation ,503,"4,208",23.9,
Transit and ground passenger transportation,69,"1,202",11.5,
Taxi and limousine service ,56,599,18.7,
Support activities for transportation ,81,"1,426",11.4,
Couriers and messengers,36,"1,360",5.3,
Warehousing and storage ,16,909,3.5,
Utilities,17,"1,957",1.7,
Information ,35,"5,759",1.2,
Financial activities,117,"18,852",1.2,
Finance and insurance,29,"13,635",0.4,
Real estate and rental and leasing,88,"5,236",3.4,
Real estate ,59,"4,563",2.6,
Rental and leasing services,29,673,8.6,
Professional and business services,425,"31,497",2.7,
"Professional, scientific, and technical services",80,"19,780",0.8,
"Architectural, engineering, and related services ",31,"2,826",2.2,
"Management, administrative, and waste services",345,"11,722",5.8,
Employment services ,39,"1,692",4.6,
Investigation and security services ,27,"1,400",3.9,
Services to buildings and dwellings (except landscaping services) ,39,"2,401",3.2,
Landscaping services,162,"2,406",13.2,
Waste management and remediation services ,55,989,10.9,
Educational and health services,146,"40,633",0.7,
Educational services,40,"7,843",1.0,
Health care and social assistance,106,"32,763",0.6,
Ambulatory health care services,41,"12,691",0.6,
Hospitals ,18,"11,106",0.3,
Social assistance,33,"4,468",1.3,
Leisure and hospitality,216,"21,334",2.0,
"Arts, entertainment, and recreation",81,"4,418",3.4,
"Performing arts, spectator sports, and related industries",32,"1,313",4.6,
"Amusement, gambling, and recreation industries (except bowling centers)  ",41,"2,797",2.7,
Accommodation and food services,135,"16,929",1.6,
Accommodation ,28,"2,749",2.0,
Traveler accommodation ,18,"2,591",1.4,
Food services and drinking places,107,"14,172",1.5,
Restaurants and other food services ,85,"13,754",1.2,
Drinking places (alcoholic beverages),22,427,9.8,
Other services (except public administration),186,"12,440",2.7,
Repair and maintenance,111,"4,008",5.5,
Automotive repair and maintenance (except car washes),69,"2,453",5.6,
Personal and laundry services,30,"3,954",1.5,
"Religious, grantmaking, civic, professional, and similar organizations",43,"3,341",1.6,
Government10,435,"36,965",1.9,
Federal government,94,"6,677",1.1,
State government,72,"11,422",1.2,
Local government,269,"18,903",2.6,
,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to ",,,,
maintain consistency with the Current Population Survey (CPS) employment.  The total fatal injuries column represents total published fatal ,,,,
injuries before the exclusions.,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of",,,,
"age and older, from the CPS, 2014.",,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,
"(N/EH) x 200,000,000 where",,,,
     N                  = the number of fatal work injuries ,,,,
     EH                = total hours worked by all employees during the calendar year,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,
     4 May include volunteers and workers receiving other types of compensation.,,,,
"     5 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include",,,,
 some owners of incorporated businesses or members of partnerships.,,,,
     6 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,
"     7 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,
"     8 Industry data are based on the North American Industry Classification System (NAICS), 2012.",,,,
"     9 Includes fatal injuries at all establishments categorized as Mining, Quarrying, and Oil and Gas Extraction (Sector 21) in the North American Industry",,,,
" Classification System, including establishments not governed by the Mine Safety and Health Administration (MSHA) rules",,,,
"and reporting, such as those in Oil and Gas Extraction.",,,,
     10 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,
"Note: Selected rate categories had 15 or more reported fatal work injuries in 2014 and 40 million or more work hours (20,000 full-time ",,,,
equivalent employees).  Rates produced in other years may not appear if they do not meet this threshold in 2014.  Totals for major ,,,,
