"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2012",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
Total,"4,628","264,374",3.4,
,,,,
Employee Status,,,,
Wage and salary workers4 ,"3,571","247,667",2.8,
Self-employed5,"1,057","16,246",12.8,
,,,,
Gender,,,,
Men,"4,277","149,610",5.5,
Women,351,"114,558",0.6,
,,,,
Age,,,,
18 to 19 years,59,"3,735",2.9,
20 to 24 years,287,"21,964",2.4,
25 to 34 years,736,"58,613",2.4,
35 to 44 years,829,"59,567",2.7,
45 to 54 years,"1,161","64,325",3.5,
55 to 64 years,936,"43,619",4.2,
65 years and over,588,"10,951",10.3,
,,,,
Race or ethnic origin6,,,,
White (non-Hispanic),"3,177","177,029",3.5,
Black or African-American (non-Hispanic),486,"27,220",3.5,
Asian (non-Hispanic),147,"14,131",2.0,
Hispanic or Latino,748,"39,894",3.7,
,,,,
Occupation7,,,,
Civilian Occupations,,,,
"Management, professional, and related occupations",694,"104,536",1.3,
"Management, business, and financial operations occupations",467,"46,920",2.0,
Management occupations,445,"33,843",2.6,
"Farmers, ranchers, and other agricultural managers",232,"2,024",22.8,
Construction managers,24,"2,002",2.4,
Food service managers,27,"2,394",2.3,
"Property, real estate, and community association managers",30,"1,171",5.0,
Business and financial operations occupations,22,"12,996",0.3,
Professional and related occupations,227,"57,615",0.7,
Architecture and engineering occupations,35,"5,838",1.2,
"Life, physical, and social science occupations",21,"2,536",1.7,
Community and social service occupations,39,"4,215",1.5,
"Education, training, and library occupations",25,"14,046",0.4,
"Arts, design, entertainment, sports, and media occupations",43,"4,773",1.8,
"Athletes, coaches, umpires, and related workers",23,354,13.0,
Healthcare practitioners and technical occupations,48,"14,829",0.6,
Service occupations,620,"42,391",2.8,
Protective service occupations,231,"6,205",6.7,
Police and sheriff's patrol officers,105,"1,384",15.0,
Security guards and gaming surveillance officers,51,"1,666",6.1,
Food preparation and serving related occupations,57,"12,414",0.9,
Building and grounds cleaning and maintenance occupations,255,"9,268",5.4,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",40,530,14.7,
Janitors and building cleaners,35,"3,705",1.8,
Grounds maintenance workers,159,"2,194",14.2,
Personal care and service occupations,65,"8,546",1.5,
Sales and office occupations,314,"59,216",1.0,
Sales and related occupations,225,"27,907",1.6,
First-line supervisors of retail sales workers,98,"6,762",2.9,
Cashiers,34,"4,649",1.4,
Retail salespersons,28,"5,399",1.0,
Office and administrative support occupations,89,"31,263",0.6,
"Natural resources, construction, and maintenance occupations","1,478","25,069",11.6,
"Farming, fishing, and forestry occupations",260,"1,949",24.8,
Miscellaneous agricultural workers,146,"1,406",18.3,
Fishers and related fishing workers,33,53,120.8,
Logging workers,63,97,129.9,
Construction and extraction occupations,870,"13,399",12.9,
First-line supervisors of construction trades and extraction workers,121,"1,359",17.7,
Carpenters,56,"2,234",4.9,
Construction laborers,214,"2,471",17.3,
Operating engineers and other construction equipment operators,45,731,12.3,
Electricians,69,"1,388",9.7,
"Painters, construction and maintenance",34,830,8.2,
"Pipelayers, plumbers, pipefitters, and steamfitters",35,"1,052",6.5,
Roofers,73,339,43.1,
Structural iron and steel workers,22,127,34.6,
Other extraction workers,19,180,21.1,
"Installation, maintenance, and repair occupations",348,"9,717",7.1,
"First-line supervisors of mechanics, installers, and repairers",33,644,10.2,
Automotive service technicians and mechanics,30,"1,740",3.4,
Bus and truck mechanics and diesel engine specialists,26,651,8.0,
"Heating, air conditioning, and refrigeration mechanics and installers",20,657,6.1,
"Industrial machinery installation, repair, and maintenance workers",32,"1,114",5.7,
"Maintenance and repairs workers, general",69,881,15.7,
Electrical power-line installers and repairers,27,226,23.9,
"Production, transportation, and material moving occupations","1,468","32,976",8.8,
Production occupations,221,"16,733",2.6,
First-line supervisors of production and operating workers,25,"1,738",2.9,
"Welding, soldering, and brazing workers",47,"1,239",7.6,
Transportation and material moving occupations,"1,247","16,244",15.2,
Aircraft pilots and flight engineers,72,232,54.3,
Driver/sales workers and truck drivers,813,"6,703",24.3,
Taxi drivers and chauffeurs,50,616,16.2,
Industrial truck and tractor operators,30,"1,075",5.6,
"Laborers and freight, stock, and material movers, hand",108,"3,222",6.5,
Refuse and recyclable material collectors,31,192,32.3,
,,,,
Industry8,,,,
Private industry,"4,175","226,848",3.6,
Goods producing,"1,823","52,629",6.8,
Natural resources and mining9,690,"6,599",20.4,
"Agriculture, forestry, fishing and hunting",509,"4,327",22.8,
Crop production  ,224,"1,817",23.7,
Animal production  ,150,"1,960",14.8,
Logging ,61,170,71.8,
"Fishing, hunting, and trapping ",36,66,106.1,
Support activities for agriculture and forestry ,32,313,19.8,
"Mining, quarrying, and oil and gas extraction9",181,"2,272",15.9,
Oil and gas extraction ,26,207,25.1,
Mining (except oil and gas),38,502,15.1,
Coal mining ,20,222,18.0,
Nonmetallic mineral mining and quarrying,16,186,17.2,
Support activities for mining,117,"1,530",15.3,
Construction,806,"16,199",9.9,
Manufacturing,327,"29,831",2.2,
Food manufacturing,43,"3,341",2.6,
Animal slaughtering and processing ,18,932,3.9,
Wood product manufacturing,24,774,5.7,
Chemical manufacturing,24,"2,665",1.8,
Nonmetallic mineral product manufacturing,32,814,7.9,
"Cement, concrete, lime, and gypsum product manufacturing ",22,274,16.1,
Primary metal manufacturing,24,"1,078",4.5,
Fabricated metal product manufacturing,43,"2,349",3.7,
Machinery manufacturing,21,"2,690",1.6,
Transportation equipment manufacturing,27,"4,226",1.3,
Service providing,"2,352","174,253",2.7,
"Trade, transportation, and utilities","1,241","47,565",5.2,
Wholesale trade,204,"7,583",5.4,
"Merchant wholesalers, durable goods",109,"3,665",5.9,
"Machinery, equipment, and supplies, merchant wholesalers     ",36,789,9.1,
Recyclable material merchant wholesalers,21,240,17.5,
"Merchant wholesalers, nondurable goods",89,"3,670",4.9,
"Groceries and related products, merchant wholesalers ",27,"1,740",3.1,
Retail trade,273,"28,091",1.9,
Motor vehicle and parts dealers,44,"3,817",2.3,
Automobile dealers ,19,"2,599",1.5,
"Automotive parts, accessories, and tire stores  ",22,955,4.6,
Building material and garden equipment and supplies dealers,33,"2,664",2.5,
Food and beverage stores,67,"5,370",2.5,
Grocery stores ,58,"4,586",2.5,
Gasoline stations ,30,882,6.8,
Miscellaneous store retailers,15,"1,839",1.6,
Nonstore retailers,21,998,4.0,
Transportation and warehousing     ,741,"10,155",14.6,
Air transportation ,32,"1,000",6.2,
Rail transportation ,16,497,6.4,
Truck transportation ,500,"3,911",25.6,
Transit and ground passenger transportation,60,935,12.8,
Taxi and limousine service ,47,446,21.1,
Support activities for transportation ,73,"1,446",10.1,
Couriers and messengers,28,"1,238",4.5,
Utilities,23,"1,737",2.5,
Information ,42,"5,472",1.5,
"Publishing industries, except Internet",18,"1,126",3.2,
Newspaper publishers,18,477,7.5,
Financial activities,85,"18,294",0.9,
Finance and insurance,21,"13,253",0.3,
Real estate and rental and leasing,64,"5,056",2.5,
Real estate ,50,"4,306",2.3,
Professional and business services,409,"30,334",2.7,
"Professional, scientific, and technical services",57,"18,852",0.6,
"Architectural, engineering, and related services ",22,"2,969",1.5,
"Management, administrative, and waste services",352,"11,480",6.1,
Employment services ,34,"1,748",3.9,
Investigation and security services ,31,"1,461",4.2,
Services to buildings and dwellings (except landscaping services) ,42,"2,272",3.7,
Landscaping services,171,"2,263",15.0,
Waste management and remediation services ,57,861,13.2,
Educational and health services,141,"39,179",0.7,
Educational services,34,"7,336",0.9,
Health care and social assistance,107,"31,784",0.7,
Ambulatory health care services,46,"13,084",0.7,
Hospitals ,15,"9,948",0.3,
Nursing and residential care facilities,23,"4,146",1.1,
Social assistance,23,"4,593",1.0,
Leisure and hospitality,232,"20,904",2.2,
"Arts, entertainment, and recreation",80,"4,291",3.5,
"Performing arts, spectator sports, and related industries",39,"1,303",5.8,
"Amusement, gambling, and recreation industries (except bowling centers)  ",38,"2,699",2.7,
Accommodation and food services,152,"16,636",1.8,
Accommodation ,32,"2,569",2.5,
Traveler accommodation ,25,"2,415",2.1,
Food services and drinking places,120,"14,060",1.7,
Restaurants and other food services ,93,"13,640",1.4,
Drinking places (alcoholic beverages),27,415,13.0,
Other services (except public administration),199,"12,503",2.7,
Repair and maintenance,105,"4,129",5.0,
Automotive repair and maintenance (except car washes),66,"2,460",5.3,
Personal and laundry services,40,"4,034",1.9,
"Religious, grantmaking, civic, professional, and similar organizations",52,"3,312",1.6,
Government10,453,"37,225",2.0,
Federal government,104,"6,886",1.5,
State government,90,"11,392",1.6,
Local government,256,"18,904",2.4,
,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to ",,,,
maintain consistency with the Current Population Survey (CPS) employment.  The total fatal injuries column represents total published fatal ,,,,
injuries before the exclusions.,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of",,,,
"age and older, from the CPS, 2012.",,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,
"(N/EH) x 200,000,000 where",,,,
     N                  = the number of fatal work injuries ,,,,
     EH                = total hours worked by all employees during the calendar year,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,
     4 May include volunteers and workers receiving other types of compensation.,,,,
"     5 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include",,,,
 some owners of incorporated businesses or members of partnerships.,,,,
     6 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,
"     7 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,
"     8 Industry data are based on the North American Industry Classification System (NAICS), 2007.",,,,
