category,project,pass,fail,error,nines
devops,capistrano,0.9343551167438731,0.03910634273411269,0.026538540522014247,1.1827991196922731
devops,chef,0.9151107216539651,0.05919467597836512,0.025694602367669784,1.071147158392021
devops,docker,0.9659470082457549,0.032410884681384436,0.001642107072860746,1.4678447267678612
devops,fabric,0.9594324544807715,0.0277987982930601,0.012768747226168352,1.3918212678614061
devops,grafana,0.9849873313787502,0.009573413567222583,0.005439255054027294,1.8235421015962265
devops,graphite,0.9814216735954375,0.014186498830373798,0.004391827574188699,1.730993411225058
devops,logstash,0.7332653329171955,0.0416566971412033,0.2250779699416012,0.5739205360748818
devops,puppet,0.9653313635953861,0.025743457155944692,0.008925179248669257,1.4600632397857112
devops,statsd,0.9182366616406001,0.07745364648584233,0.004309691873557544,1.0874413848039366
devops,vagrant,0.9908662064362822,0.002850175771781981,0.006283617791935825,2.0393488082700046
languages,amber,0.9844193734103387,0.00458224648741637,0.010998380102244947,1.807415080748154
languages,dmd,0.9894859133673181,0.010514086632681975,0.0,1.9782284488564261
languages,elixir,0.9541127864176885,0.021883819704206456,0.024003393878105052,1.338308313248182
languages,elm,0.9012799951283034,0.02229622336824836,0.07642378150344825,1.005594831878997
languages,fsharp,0.8876974653787201,0.009980634556985385,0.10232190006429456,0.9496104417829454
languages,harlan,0.821260168191963,0.08201906223970191,0.09672076956833511,0.7477786550668369
languages,julia,0.8225166486315879,0.11809598779788068,0.059387363570531454,0.7508423792169973
languages,livescript,0.8184009843810014,0.180475233575425,0.0011237820435736194,0.7408865099580817
languages,nu,0.9999976409356827,0.0,2.359064317306392e-6,5.627260218383763
languages,php-src,0.45168970879329245,0.4856011185187506,0.06270917268795693,0.26097360278997916
languages,racket,0.8973804980837926,0.07637751486085832,0.026241987055349095,0.9887700976085975
languages,ruby,0.8475359207704639,0.10749388200641465,0.04497019722312143,0.8168324647104312
languages,scala-2.11,0.9989816220648705,0.0,0.0010183779351294858,2.992091018972742
ml,caffe,0.999979346962941,0.0,2.065303705903147e-5,4.685016075679099
ml,golearn,0.9916998638522386,0.0,0.008300136147761369,2.080914783800246
ml,mlpneuralnet,0.11363545039172569,0.8863454226125772,1.9126995697068893e-5,0.05238762199446481
ml,nupic,0.9444471453019209,0.006670549365171621,0.04888230533290752,1.255293619031513
ml,oryx,0.9999973253268207,0.0,2.674673179252706e-6,5.572729277235559
ml,scikit-learn,0.9193948882108993,0.05467898787463072,0.025926123914469967,1.0936374153735287
ml,shogun,0.8795604677844977,0.12013325558612815,0.000306276629374122,0.9192309399462311
ml,vowpal_wabbit,0.9804002001090847,0.018908466348081444,0.0006913335428338192,1.7077483626595902
web-frameworks,cakephp,0.8808286404508742,0.10881231121593694,0.010359048333188845,0.9238281060413626
web-frameworks,catalyst,0.9996372215739002,0.00036277842609975136,0.0,3.4403585476990655
web-frameworks,express,0.5871820070188154,0.4115676683398152,0.0012503246413694314,0.38424138191828694
web-frameworks,flask,0.7760649151246981,0.22379070128267045,0.00014438359263145014,0.6498778583010807
web-frameworks,mojo,0.9940039701327409,0.004388411009692108,0.0016076188575670336,2.222136212522638
web-frameworks,rails,0.7352937024609668,0.06179882515333093,0.20290747238570225,0.5772357264209115
web-frameworks,revel,0.9589031184477794,0.0187922340262072,0.022304647526013414,1.3861911313123676
web-frameworks,sails,0.6548609185285217,0.2977952499229191,0.047343831548559236,0.46200586103184327
web-frameworks,sinatra,0.3918475213522904,0.47370024718116516,0.13445223146654448,0.2159875188636945
web-frameworks,symfony,0.6588412651248099,0.2981749389103488,0.042983795964841275,0.4670435047606509
